starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:51:19 2018	1523461879	58	50	108	49
Wed Apr 11 16:50:50 2018	1523461850	88	20	108	20
Wed Apr 11 16:51:10 2018	1523461870	24	84	108	84
Wed Apr 11 16:51:03 2018	1523461863	36	72	108	71
Wed Apr 11 16:50:59 2018	1523461859	40	68	108	67
Wed Apr 11 16:51:10 2018	1523461870	23	84	108	84
Wed Apr 11 16:51:05 2018	1523461865	50	57	108	57
Wed Apr 11 16:50:51 2018	1523461851	42	66	108	65
Wed Apr 11 16:51:22 2018	1523461882	27	81	108	81
Wed Apr 11 16:50:53 2018	1523461853	73	35	108	34
Wed Apr 11 16:50:53 2018	1523461853	41	67	108	67
Wed Apr 11 16:50:53 2018	1523461853	61	47	108	47
Wed Apr 11 16:50:53 2018	1523461853	52	56	108	55
Wed Apr 11 16:50:53 2018	1523461853	60	48	108	47
Wed Apr 11 16:50:50 2018	1523461850	87	21	108	20
Wed Apr 11 16:51:10 2018	1523461870	23	85	108	84
Wed Apr 11 16:51:17 2018	1523461877	72	36	108	26
Wed Apr 11 16:50:50 2018	1523461850	89	19	108	18
Wed Apr 11 16:51:09 2018	1523461869	77	31	108	31
Wed Apr 11 16:50:53 2018	1523461853	36	72	108	59
Wed Apr 11 16:50:53 2018	1523461853	77	31	108	31
Wed Apr 11 16:50:53 2018	1523461853	77	31	108	31
Wed Apr 11 16:50:50 2018	1523461850	89	19	108	18
Wed Apr 11 16:50:50 2018	1523461850	87	21	108	21
Wed Apr 11 16:50:50 2018	1523461850	86	22	108	21
Wed Apr 11 16:50:54 2018	1523461854	45	63	108	63
Wed Apr 11 16:51:03 2018	1523461863	18	90	108	90
Wed Apr 11 16:51:19 2018	1523461879	58	50	108	49
Wed Apr 11 16:51:03 2018	1523461863	83	25	108	23
Wed Apr 11 16:50:50 2018	1523461850	86	22	108	21
Wed Apr 11 16:50:50 2018	1523461850	89	19	108	19
Wed Apr 11 16:51:10 2018	1523461870	39	69	108	68
Wed Apr 11 16:50:50 2018	1523461850	87	21	108	21
Wed Apr 11 16:50:50 2018	1523461850	87	21	108	21
Wed Apr 11 16:51:19 2018	1523461879	58	50	108	49
Wed Apr 11 16:50:50 2018	1523461850	87	22	108	20
Wed Apr 11 16:50:50 2018	1523461850	89	20	108	19
Wed Apr 11 16:50:53 2018	1523461853	77	32	108	31
Wed Apr 11 16:51:15 2018	1523461875	39	70	108	70
Wed Apr 11 16:51:09 2018	1523461869	77	32	108	32
Wed Apr 11 16:51:21 2018	1523461881	75	34	108	33
Wed Apr 11 16:51:18 2018	1523461878	31	78	108	78
Wed Apr 11 16:51:22 2018	1523461882	80	29	108	29
Wed Apr 11 16:50:50 2018	1523461850	86	22	108	21
Wed Apr 11 16:50:50 2018	1523461850	87	22	108	21
Wed Apr 11 16:51:19 2018	1523461879	59	50	109	49
Wed Apr 11 16:50:50 2018	1523461850	90	19	109	18
Wed Apr 11 16:51:05 2018	1523461865	51	58	109	57
Wed Apr 11 16:51:22 2018	1523461882	69	40	109	39
Wed Apr 11 16:51:05 2018	1523461865	50	58	109	57
